,game_date,player_name,pitcher
399,2015,"Scherzer, Max",453286
400,2019,"Bauer, Trevor",545333
401,2014,"Guthrie, Jeremy",425386
402,2016,"Verlander, Justin",434378
403,2014,"Lynn, Lance",458681
404,2017,"Bauer, Trevor",545333
405,2014,"Darvish, Yu",506433
406,2015,"Zimmermann, Jordan",519455
407,2018,"Clevinger, Mike",605182
408,2016,"Santana, Ervin",429722
409,2015,"Arrieta, Jake",453562
410,2016,"Scherzer, Max",453286
411,2014,"Kluber, Corey",446372
412,2014,"Darvish, Yu",506433
413,2016,"Odorizzi, Jake",543606
414,2015,"Sánchez, Aníbal",434671
415,2016,"Porcello, Rick",519144
416,2014,"Richards, Garrett",572070
417,2018,"Clevinger, Mike",605182
418,2016,"Shoemaker, Matt",533167
419,2015,"Salazar, Danny",517593
420,2016,"Cueto, Johnny",456501
421,2014,"Peacock, Brad",502748
422,2017,"Roark, Tanner",543699
423,2018,"Archer, Chris",502042
424,2014,"Porcello, Rick",519144
425,2016,"Gibson, Kyle",502043
426,2014,"Feldman, Scott",444857
427,2018,"Fedde, Erick",607200
428,2015,"Samardzija, Jeff",502188
429,2015,"Archer, Chris",502042
430,2019,"Giolito, Lucas",608337
431,2017,"Verlander, Justin",434378
432,2019,"Lynn, Lance",458681
433,2019,"Scherzer, Max",453286
434,2016,"Gray, Jon",592351
435,2014,"Haren, Dan",429717
436,2016,"Vólquez, Edinson",450172
437,2014,"Teheran, Julio",527054
438,2015,"Teheran, Julio",527054
439,2017,"Samardzija, Jeff",502188
440,2016,"Bauer, Trevor",545333
441,2016,"Samardzija, Jeff",502188
442,2018,"deGrom, Jacob",594798
443,2014,"Phelps, David",475479
444,2016,"Hernández, Félix",433587
445,2014,"Kuroda, Hiroki",493133
446,2015,"Haren, Dan",429717
447,2018,"Severino, Luis",622663
448,2014,"Stroman, Marcus",573186
449,2017,"Cobb, Alex",502171
450,2019,"Lynn, Lance",458681
451,2016,"Wisler, Matt",605538
452,2015,"Dickey, R.A.",285079
453,2016,"Roark, Tanner",543699
454,2016,"Lackey, John",407793
455,2014,"Harang, Aaron",421685
456,2016,"Teheran, Julio",527054
457,2019,"Strasburg, Stephen",544931
458,2014,"Scherzer, Max",453286
459,2017,"Sánchez, Aníbal",434671
460,2017,"Estrada, Marco",462136
461,2015,"Shields, James",448306
462,2016,"Porcello, Rick",519144
463,2015,"Harvey, Matt",518774
464,2020,"Maeda, Kenta",628317
465,2014,"Garza, Matt",490063
466,2014,"Stroman, Marcus",573186
467,2014,"Jackson, Edwin",429719
468,2014,"Hutchison, Drew",571800
469,2015,"De La Rosa, Rubby",523989
470,2018,"Syndergaard, Noah",592789
471,2014,"Ross, Tyson",475115
472,2014,"Kendrick, Kyle",452718
473,2016,"Archer, Chris",502042
474,2014,"Wainwright, Adam",425794
475,2015,"Syndergaard, Noah",592789
476,2014,"Greinke, Zack",425844
477,2019,"Nola, Aaron",605400
478,2016,"Reyes, Alex",621052
479,2016,"Archer, Chris",502042
480,2015,"deGrom, Jacob",594798
481,2017,"Cole, Gerrit",543037
482,2016,"Koehler, Tom",543408
483,2019,"Clevinger, Mike",605182
484,2015,"Lynn, Lance",458681
485,2015,"Ross, Tyson",475115
486,2016,"Johnson, Erik",605304
487,2016,"Verlander, Justin",434378
488,2015,"Kluber, Corey",446372
489,2017,"Dickey, R.A.",285079
490,2015,"Vólquez, Edinson",450172
491,2017,"Gausman, Kevin",592332
492,2015,"Scherzer, Max",453286
493,2015,"Salazar, Danny",517593
494,2014,"Bauer, Trevor",545333
495,2019,"Scherzer, Max",453286
496,2014,"Scherzer, Max",453286
497,2016,"Richards, Garrett",572070
498,2019,"Bauer, Trevor",545333
499,2018,"Bailey, Homer",456701
500,2015,"Ross, Tyson",475115
501,2016,"Syndergaard, Noah",592789
502,2014,"Shields, James",448306
503,2014,"Peralta, Wily",503449
504,2016,"Kluber, Corey",446372
